Dealer
Makléř
Specialista analýzy finančního trhu
Specialista bankovních strategií
Specialista devizových obchodů
Specialista kapitálových obchodů
Specialista metodik bankovních hotovostních operací
Specialista rozvoje bankovních obchodů
Specialista systému platebních karet
Specialista úvěrových rizik
Investiční makléř
Pojišťovací makléř
Disponent likvidace pojistných událostí
Disponent likvidace zahraničních pojistných událostí
Disponent vzniku pojištění
Disponent zajištění
Hlavní metodik v pojišťovnictví
Pojistný analytik
Pojistný matematik
Produktový manažer v pojišťovnictví
Riskmanažer v pojišťovnictví
Upisovatel rizik pro neživotní pojištění
Upisovatel rizik pro pojištění osob
Vyšetřovatel v pojišťovnictví
Bankovní ekonom
Dealer asistent
Metodik bankovních hotovostních operací
Samostatný pracovník devizových obchodů
Samostatný pracovník kapitálových obchodů
Samostatný pracovník podnikatelských úvěrů
Samostatný pracovník řízení úvěrů
Samostatný pracovník správy úvěrového portfolia
Samostatný pracovník systému platebních karet
Samostatný pracovník vývoje bankovních produktů
Asistent riskmanažera v pojišťovnictví
Metodik v pojišťovnictví
Pojistný matematik asistent
Samostatný pojišťovací poradce
Samostatný pracovník prodeje v pojišťovnictví
Samostatný technik likvidace pojistných událostí
Upisovatel asistent
Bankovní pokladník
Makléř asistent
Pracovník hotovostních operací a zahraničních šeků
Pracovník kapitálových obchodů
Pracovník klientského centra banky
Pracovník podpisových vzorů
Pracovník řízení úvěrů
Pracovník spotřebitelských úvěrů
Pracovník správy úvěrového portfolia
Pracovník systému platebních karet
Pracovník vnitřních bankovních služeb
Pojišťovací poradce
Pojišťovací poradce na přepážce
Pracovník klientského centra pojišťovny
Likvidátor škod z pojištění majetku a odpovědnosti za škodu
Likvidátor škod z cestovního pojištění
Likvidátor škod z pojištění osob
Technik likvidace pojistných událostí
Taxátor pojistných smluv
Likvidátor škod z pojištění vozidel
Disponent lodní dopravy
Dozorčí železniční přepravy
Dozorčí železničního provozu
Provozní dispečer v železniční dopravě
Inženýr letového provozu
Vedoucí silniční nákladní dopravy
Vedoucí silniční osobní dopravy
Pilot
Pilot - instruktor
Učitel leteckého pozemního výcviku
Dispečer lodní dopravy
Logistik skladových operací specialista
Logistik v dopravě a přepravě specialista
Logistik výroby specialista
Palubní technik
Řídící letového provozu oblastního střediska řízení
Řídící letového provozu přibližovací a letištní služby
Dispečer železniční dopravy
Kontrolor vozby
Strojmistr železniční dopravy
Výpravčí
Manažer provozu silniční dopravy
Samostatný referent silniční dopravy
Samostatný referent železniční dopravy
Technik lodní dopravy
Disponent mezinárodního zasílatelství
Kontrolor defektoskopista, diagnostik v železniční dopravě
Logistik skladových operací
Logistik v dopravě a přepravě
Logistik výroby
Specialista bezpečnosti přepravy
Specialista pro pojištění a reklamace
Mistr železniční infrastruktury
Návěstní technik
Návěstní spojový dozorce
Nákladní pokladník železniční dopravy
Osobní pokladník železniční dopravy
Referent železniční dopravy
Palubní průvodčí v letecké dopravě
Kontrolor kvality dopravy
Kontrolor přepravy cestujících
Řidič drážního speciálního vozidla
Strojník speciálních železničních zařízení
Strojvedoucí
Strojvedoucí elektrických vozů metra
Dispečer silniční dopravy
Mistr silniční dopravy
Provozní technik silniční dopravy
Dozorce depa
Komandující
Nádražní
Vozový disponent
Operátor letových dat
Řídící odbavovací plochy
Vozmistr
Vedoucí provozu lanových drah
Vedoucí provozu lyžařských vleků
Informátor v dopravě
Jeřábník pro automobilní jeřáby
Jeřábník pro nakládací jeřáby
Jeřábník pro zdvihadla a mostové, portálové a konzolové jeřáby
Jeřábník sloupových a věžových jeřábů
Kormidelník
Kapitán I. třídy
Kapitán II. třídy
Kapitán III. třídy
Kapitán IV. třídy
Lodní strojník
Loďmistr
Lodník
Posunovač
Tranzitér
Tranzitér přípravář
Vedoucí obsluhy nákladních vlaků
Vedoucí posunu
Obsluha zdvihacích pracovních plošin
Dozorce výhybek
Operátor železniční dopravy
Signalista
Staniční dozorce
Výhybkář
Obsluha regálových zakladačů
Palubní průvodčí v železniční dopravě
Průvodčí
Vlakvedoucí
Převozník I. třídy
Převozník II. třídy
Převozník III. třídy
Pracovník v dopravní infrastruktuře
Pracovník evidence zásob a materiálu
Pomocný lodník
Řidič motorových vozíků
Řidič sněžných pásových vozidel
Řidič tramvají
Řidič nákladní dopravy
Řidič osobní dopravy
Řidič osobních a malých dodávkových automobilů
Staniční pracovník lanové dráhy
Strojmistr I. třídy
Strojmistr II. třídy
Silničář
Traťový strojník
Vazač břemen
Traťový dělník
Traťový dělník - obchůzkář
Kurýr
Manipulační pracovník se zbožím ve skladu
Manipulant interní logistiky v automobilovém průmyslu
Hradlař a hláskař
Závorář
Obsluha lyžařského vleku
Pomocný pracovník v dopravě
Dřevařský výzkumný a vývojový pracovník
Designér nábytku
Dispečer v dřevařské a nábytkářské výrobě
Manažer řízení jakosti v dřevařské a nábytkářské výrobě
Nábytkářský výzkumný a vývojový pracovník
Dřevařský technik manažer provozu
Dřevařský technolog
Dřevařský konstruktér
Kontrolor jakosti v dřevařské a nábytkářské výrobě
Nábytkářský konstruktér
Nábytkářský technolog
Dřevařský technik mistr
Nábytkářský technik mistr
Operátor CNC obráběcích strojů v nábytkářské výrobě
Pracovník výroby a opravář hudebních nástrojů
Pracovník pro povrchovou úpravu nábytku
Technik výroby hudebních nástrojů technolog
Technik výroby hudebních nástrojů mistr
Bednář a obalář
Čalouník
Dekoratér
Dřevomodelář
Dílenský montážník nábytku
Ladič pian
Montážník nábytku do interiérů a exteriérů
Nábytkářský truhlář
Obsluha strojů pro zpracování materiálů ve výrobě nábytku
Obsluha dřevařských strojů a zařízení
Pracovník výroby dýh, překližek a vrstveného dřeva
Pracovník výroby matrací
Pracovník výroby dřevostaveb
Pracovník výroby matracových jader
Pracovník pro výrobu aglomerovaných materiálů na bázi dřeva
Pracovník výroby polotovarů a prefabrikátů z pěnových materiálů
Stavební truhlář
Dělník v nábytkářské výrobě
Dělník v dřevozpracující výrobě
Pomocný pracovník v dřevozpracující výrobě
Daňový specialista
Finanční analytik
Finanční auditor
Hlavní účetní
Manažer řízení rizik
Manažer controllingu
Specialista hodnocení a odměňování zaměstnanců
Specialista náboru pracovních sil
Specialista pracovně právních vztahů
Specialista vzdělávání a rozvoje zaměstnanců
Správce majetku
Specialista finančního controllingu
Účetní metodik
Samostatný účetní
Administrátor projektu
Asistentka
Celní deklarant
Firemní recepční
Pracovník správy pohledávek
Personalista
Fakturant
Mzdová účetní
Odborný účetní
Pokladník
Pracovník pro evidenci zásob
Technickoadministrativní pracovník
Inspektor telekomunikací v elektronických komunikacích
Projektant v elektronických komunikacích specialista
Technický manažer provozu radiokomunikací v elektronických komunikacích
Technický manažer provozu telekomunikací v elektronických komunikacích
Vývojový a výzkumný pracovník pro elektronické komunikace
Samostatný technik dispečer provozu v elektronických komunikacích
Samostatný technik inspektor v elektronických komunikacích
Samostatný technik přenosových zařízení v elektronických komunikacích
Samostatný technik projektant v elektronických komunikacích
Technik zabezpečovací letecké techniky
Servisní technik metalických sítí
Dispečer provozu v elektronických komunikacích
Technik kontrolor elektronických komunikací
Technik optických sítí
Technik přenosových zařízení a telekomunikačních služeb v elektronických komunikacích
Technik projektant v elektronických komunikacích
Technik radiokomunikačních zařízení v elektronických komunikacích
Technik sítí v elektronických komunikacích
Technik spojovacích zařízení v elektronických komunikacích
Montér bezdrátových sítí
Servisní technik bezdrátových sítí
Montér elektronických komunikačních sítí
Montér optických kabelů
Montér slaboproudých metalických sítí
Montér metalických kabelů
Mechanik zařízení elektronických komunikací
Pomocný pracovník elektronických komunikací
Elektroinženýr konstruktér pro elektrické stroje, přístroje a zařízení
Elektroinženýr pracovník řízení jakosti
Elektroinženýr konstruktér měřících přístrojů
Elektroinženýr výzkumný a vývojový pracovník
Elektroinženýr dispečer
Elektroinženýr projektant
Elektroinženýr pro biomedicínské stroje a přístroje
Elektroinženýr technolog
Elektroinženýr investic a engineeringu
Samostatný elektrotechnik investic a engineeringu
Samostatný elektrotechnik pro elektrostatický výboj
Samostatný elektrotechnik projektant měřících přístrojů
Samostatný elektrotechnik projektant pro automatickou identifikaci (RFID)
Samostatný elektrotechnik konstruktér pro elektrické stroje a přístroje
